GeneIDs;GeneName;Description
AT5G46330;FLS2; Leucine-rich receptor-like protein kinase family protein [KO:K13420] [EC:2.7.11.1]
AT4G33430;BAK1; BRI1-associated receptor kinase [KO:K13416] [EC:2.7.10.1 2.7.11.1]
AT4G08500;MEKK1; MAPK/ERK kinase kinase 1 [KO:K13414] [EC:2.7.11.25]
AT4G26070;MEK1; MAP kinase/ ERK kinase 1 [KO:K20602] [EC:2.7.12.2]
AT4G29810;MKK2; MAP kinase kinase 2 [KO:K20603] [EC:2.7.12.2]
AT4G01370;MPK4; MAP kinase 4 [KO:K20600] [EC:2.7.11.24]
AT4G08480;MAPKKK9; mitogen-activated protein kinase kinase kinase 9 [KO:K20605] [EC:2.7.11.25]
AT1G12280;SUMM2; LRR and NB-ARC domains-containing disease resistance protein [KO:K20599]
AT3G18690;MKS1; MAP kinase substrate 1 [KO:K20725]
AT2G38470;WRKY33; WRKY DNA-binding protein 33 [KO:K13424]
AT3G26830;PAD3; Cytochrome P450 superfamily protein [KO:K20559] [EC:1.14.19.52]
AT1G51660;MKK4; mitogen-activated protein kinase kinase 4 [KO:K13413] [EC:2.7.12.2]
AT3G21220;MKK5; MAP kinase kinase 5 [KO:K13413] [EC:2.7.12.2]
AT3G45640;MPK3; mitogen-activated protein kinase 3 [KO:K20536] [EC:2.7.11.24]
AT2G43790;MPK6; MAP kinase 6 [KO:K14512] [EC:2.7.11.24]
AT3G59790;MPK10; MAP kinase 10 [KO:K14512] [EC:2.7.11.24]
AT1G43700;VIP1; VIRE2-interacting protein 1 [KO:K20557]
AT2G14610;PR1; pathogenesis-related protein 1 [KO:K13449]
AT4G33720;CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein [KO:K13449]
AT1G50060;CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein [KO:K13449]
AT2G14580;PRB1; basic pathogenesis-related protein 1 [KO:K13449]
AT3G19690;CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein [KO:K13449]
AT2G19990;PR-1-LIKE; pathogenesis-related protein-1-like protein [KO:K13449]
AT4G33730;CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein [KO:K13449]
AT4G33710;CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein [KO:K13449]
AT4G01250;WRKY22; WRKY family transcription factor [KO:K13425]
AT4G23550;WRKY29; WRKY family transcription factor [KO:K13426]
AT2G19190;FRK1; FLG22-induced receptor-like kinase 1 [KO:K16224]
AT4G11280;ACS6; 1-aminocyclopropane-1-carboxylic acid (acc) synthase 6 [KO:K20772] [EC:4.4.1.14]
AT1G01480;ACS2; 1-amino-cyclopropane-1-carboxylate synthase 2 [KO:K20772] [EC:4.4.1.14]
AT3G61510;ACS1; ACC synthase 1 [KO:K20772] [EC:4.4.1.14]
AT3G25250;AGC2-1; AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein [KO:K20714] [EC:2.7.11.1]
AT4G13000;AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein [KO:K20714] [EC:2.7.11.1]
AT4G23900;Nucleoside diphosphate kinase family protein [KO:K00940] [EC:2.7.4.6]
AT5G63310;NDPK2; nucleoside diphosphate kinase 2 [KO:K00940] [EC:2.7.4.6]
AT4G11010;NDPK3; nucleoside diphosphate kinase 3 [KO:K00940] [EC:2.7.4.6]
AT4G09320;NDPK1; nucleoside diphosphate kinase [KO:K00940] [EC:2.7.4.6]
AT1G09000;NP1; NPK1-related protein kinase 1 [KO:K20606] [EC:2.7.11.25]
AT1G54960;NP2; NPK1-related protein kinase 2 [KO:K20606] [EC:2.7.11.25]
AT2G30250;WRKY25; WRKY DNA-binding protein 25 [KO:K13423]
AT5G40440;MKK3; mitogen-activated protein kinase kinase 3 [KO:K20607] [EC:2.7.12.2]
AT1G10210;MPK1; mitogen-activated protein kinase 1 [KO:K20535] [EC:2.7.11.24]
AT1G59580;MPK2; mitogen-activated protein kinase homolog 2 [KO:K20535] [EC:2.7.11.24]
AT4G36450;MPK14; mitogen-activated protein kinase 14 [KO:K20537] [EC:2.7.11.24]
AT2G18170;MPK7; MAP kinase 7 [KO:K20537] [EC:2.7.11.24]
AT1G04310;ERS2; ethylene response sensor 2 [KO:K14509] [EC:2.7.13.-]
AT1G66340;ETR1; Signal transduction histidine kinase, hybrid-type, ethylene sensor [KO:K14509] [EC:2.7.13.-]
AT2G40940;ERS1; ethylene response sensor 1 [KO:K14509] [EC:2.7.13.-]
AT3G04580;EIN4; Signal transduction histidine kinase, hybrid-type, ethylene sensor [KO:K14509] [EC:2.7.13.-]
AT3G23150;ETR2; Signal transduction histidine kinase, hybrid-type, ethylene sensor [KO:K14509] [EC:2.7.13.-]
AT5G03730;CTR1; Protein kinase superfamily protein [KO:K14510] [EC:2.7.11.1]
AT2G26070;RTE1; protein REVERSION-TO-ETHYLENE SENSITIVITY-like protein (DUF778) [KO:K20726]
AT3G51040;RTH; RTE1-homolog [KO:K20726]
AT5G44790;RAN1; copper-exporting ATPase / responsive-to-antagonist 1 / copper-transporting ATPase (RAN1) [KO:K17686] [EC:7.2.2.8]
AT1G63440;HMA5; heavy metal atpase 5 [KO:K17686] [EC:7.2.2.8]
AT5G21930;PAA2; uncharacterized protein [KO:K17686] [EC:7.2.2.8]
AT4G33520;PAA1; P-type ATP-ase 1 [KO:K17686] [EC:7.2.2.8]
AT1G73500;MKK9; MAP kinase kinase 9 [KO:K20604] [EC:2.7.12.2]
AT3G20770;EIN3; Ethylene insensitive 3 family protein [KO:K14514]
AT2G27050;EIL1; ETHYLENE-INSENSITIVE3-like 1 [KO:K14514]
AT1G73730;EIL3; ETHYLENE-INSENSITIVE3-like 3 [KO:K14514]
AT5G10120;Ethylene insensitive 3 family protein [KO:K14514]
AT5G21120;EIL2; ETHYLENE-INSENSITIVE3-like 2 [KO:K14514]
AT5G65100;Ethylene insensitive 3 family protein [KO:K14514]
AT5G03280;EIN2; NRAMP metal ion transporter family protein [KO:K14513]
AT2G25490;EBF1; EIN3-binding F box protein 1 [KO:K14515]
AT5G25350;EBF2; EIN3-binding F box protein 2 [KO:K14515]
AT1G54490;XRN4; exoribonuclease 4 [KO:K20553] [EC:3.1.13.-]
AT3G23240;ERF1; ethylene response factor 1 [KO:K14516]
AT2G26020;PDF1.2b; plant defensin 1.2b [KO:K20727]
AT5G44430;PDF1.2c; plant defensin 1.2C [KO:K20727]
AT5G44420;PDF1.2; plant defensin 1.2 [KO:K20727]
AT3G12500;HCHIB; basic chitinase [KO:K20547] [EC:3.2.1.14]
AT1G32640;MYC2; Basic helix-loop-helix (bHLH) DNA-binding family protein [KO:K13422]
AT5G24770;VSP2; vegetative storage protein 2 [KO:K20728]
AT2G38310;PYL4; PYR1-like 4 [KO:K14496]
AT2G40330;PYL6; PYR1-like 6 [KO:K14496]
AT4G01026;PYL7; PYR1-like 7 [KO:K14496]
AT4G17870;PYR1; Polyketide cyclase/dehydrase and lipid transport superfamily protein [KO:K14496]
AT4G18620;PYL13; PYR1-like 13 [KO:K14496]
AT4G27920;PYL10; PYR1-like 10 [KO:K14496]
AT5G05440;PYL5; Polyketide cyclase/dehydrase and lipid transport superfamily protein [KO:K14496]
AT5G45860;PYL11; PYR1-like 11 [KO:K14496]
AT5G45870;PYL12; PYR1-like 12 [KO:K14496]
AT5G46790;PYL1; PYR1-like 1 [KO:K14496]
AT5G53160;RCAR3; regulatory components of ABA receptor 3 [KO:K14496]
AT1G01360;RCAR1; regulatory component of ABA receptor 1 [KO:K14496]
AT1G73000;PYL3; PYR1-like 3 [KO:K14496]
AT2G26040;PYL2; PYR1-like 2 [KO:K14496]
AT1G07430;HAI2; highly ABA-induced PP2C protein 2 [KO:K14497] [EC:3.1.3.16]
AT1G17550;HAB2; homology to ABI2 [KO:K14497] [EC:3.1.3.16]
AT2G29380;HAI3; highly ABA-induced PP2C protein 3 [KO:K14497] [EC:3.1.3.16]
AT3G11410;PP2CA; protein phosphatase 2CA [KO:K14497] [EC:3.1.3.16]
AT4G26080;ABI1; Protein phosphatase 2C family protein [KO:K14497] [EC:3.1.3.16]
AT5G51760;AHG1; Protein phosphatase 2C family protein [KO:K14497] [EC:3.1.3.16]
AT5G57050;ABI2; Protein phosphatase 2C family protein [KO:K14497] [EC:3.1.3.16]
AT5G59220;HAI1; PP2C protein (Clade A protein phosphatases type 2C) [KO:K14497] [EC:3.1.3.16]
AT1G72770;HAB1; HYPERSENSITIVE TO ABA1 [KO:K14497] [EC:3.1.3.16]
AT1G10940;SNRK2.4; Protein kinase superfamily protein [KO:K14498] [EC:2.7.11.1]
AT1G60940;SNRK2.10; SNF1-related protein kinase 2.10 [KO:K14498] [EC:2.7.11.1]
AT1G78290;SNRK2-8; Protein kinase superfamily protein [KO:K14498] [EC:2.7.11.1]
AT2G23030;SNRK2.9; SNF1-related protein kinase 2.9 [KO:K14498] [EC:2.7.11.1]
AT3G50500;SNRK2.2; SNF1-related protein kinase 2.2 [KO:K14498] [EC:2.7.11.1]
AT4G33950;OST1; Protein kinase superfamily protein [KO:K14498] [EC:2.7.11.1]
AT4G40010;SNRK2.7; SNF1-related protein kinase 2.7 [KO:K14498] [EC:2.7.11.1]
AT5G08590;SNRK2.1; SNF1-related protein kinase 2.1 [KO:K14498] [EC:2.7.11.1]
AT5G63650;SNRK2.5; SNF1-related protein kinase 2.5 [KO:K14498] [EC:2.7.11.1]
AT5G66880;SNRK2.3; sucrose nonfermenting 1(SNF1)-related protein kinase 2.3 [KO:K14498] [EC:2.7.11.1]
AT2G32510;MAPKKK17; mitogen-activated protein kinase kinase kinase 17 [KO:K20716]
AT1G05100;MAPKKK18; mitogen-activated protein kinase kinase kinase 18 [KO:K20716]
AT1G20630;CAT1; catalase 1 [KO:K03781] [EC:1.11.1.6]
AT4G35090;CAT2; catalase 2 [KO:K03781] [EC:1.11.1.6]
AT1G20620;CAT3; catalase 3 [KO:K03781] [EC:1.11.1.6]
AT3G06110;MKP2; MAPK phosphatase 2 [KO:K20551] [EC:3.1.3.16 3.1.3.48]
AT1G18150;ATMPK8; Protein kinase superfamily protein [KO:K20538] [EC:2.7.11.24]
AT5G37780;CAM1; calmodulin 1 [KO:K02183]
AT3G43810;CAM7; calmodulin 7 [KO:K02183]
AT3G56800;CAM3; calmodulin 3 [KO:K02183]
AT1G66410;CAM4; calmodulin 4 [KO:K02183]
AT2G41110;CAM2; calmodulin 2 [KO:K02183]
AT2G27030;CAM5; calmodulin 5 [KO:K02183]
AT5G21274;CAM6; calmodulin 6 [KO:K02183]
AT2G41090;Calcium-binding EF-hand family protein [KO:K02183]
AT5G49480;CP1; Ca2+-binding protein 1 [KO:K02183]
AT1G64060;RBOH_F; respiratory burst oxidase protein F [KO:K13447] [EC:1.6.3.- 1.11.1.-]
AT5G07390;RBOHA; respiratory burst oxidase homolog A [KO:K13447] [EC:1.6.3.- 1.11.1.-]
AT5G47910;RBOHD; respiratory burst oxidase homologue D [KO:K13447] [EC:1.6.3.- 1.11.1.-]
AT5G51060;RHD2; NADPH/respiratory burst oxidase protein D [KO:K13447] [EC:1.6.3.- 1.11.1.-]
AT4G25090;Riboflavin synthase-like superfamily protein [KO:K13447] [EC:1.6.3.- 1.11.1.-]
AT4G11230;Riboflavin synthase-like superfamily protein [KO:K13447] [EC:1.6.3.- 1.11.1.-]
AT1G19230;Riboflavin synthase-like superfamily protein [KO:K13447] [EC:1.6.3.- 1.11.1.-]
AT1G09090;RBOHB; respiratory burst oxidase-like protein [KO:K13447] [EC:1.6.3.- 1.11.1.-]
AT1G34245;EPF2; Putative membrane lipoprotein [KO:K20729]
AT2G20875;EPF1; epidermal patterning factor 1 [KO:K20729]
AT5G62230;ERL1; ERECTA-like 1 [KO:K20718] [EC:2.7.11.1]
AT2G26330;ER; Leucine-rich receptor-like protein kinase family protein [KO:K20718] [EC:2.7.11.1]
AT5G07180;ERL2; ERECTA-like 2 [KO:K20718] [EC:2.7.11.1]
AT1G63700;YDA; Protein kinase superfamily protein [KO:K20717] [EC:2.7.11.25]
AT5G53210;SPCH; basic helix-loop-helix (bHLH) DNA-binding superfamily protein [KO:K20558]
